"Specimen_No","Site_No","Site","Element","p_immature","p_female","p_male"
301,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.99,0.01
302,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.57,0.43
303,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
304,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.98,0.02
305,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
306,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.99,0.01
307,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.12,0.88,0
308,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.96,0.04
309,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.19,0.78,0.03
310,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.22,0.77,0.01
311,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.67,0.33
312,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_prox",0.08,0.41,0.51
313,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.83,0.17
314,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
315,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.16,0.8,0.04
316,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.18,0.82,0
317,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.59,0.41
318,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.75,0.25
319,4,"Ilipinar 2 (Early Chalcolithic)","Fem_dist",0,0.98,0.02
320,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.6,0.4
321,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0,0.93,0.07
322,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.64,0.36
323,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.67,0.33
324,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.18,0.81,0.01
325,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
326,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
327,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
328,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
329,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.23,0.76,0.01
330,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.85,0.15
331,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.43,0.57
332,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.18,0.82
333,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.83,0.17
334,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.63,0.37
335,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
336,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.97,0.03
337,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.07,0.67,0.26
338,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.99,0.01
339,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_dist",0.32,0.56,0.12
340,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.36,0.64
341,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.45,0.55
342,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.07,0.86,0.07
343,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.87,0.13
344,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.69,0.31
